condition,observable,time,value
cond_il6_10,pSTAT3,88.0,0.17986686792469248
cond_il6_10,pSTAT3,89.0,0.17905847931248164
cond_il6_10,pSTAT3,90.0,0.17828812129438554
cond_il6_10_il10_10,pSTAT1,0.0,0.0
cond_il6_10_il10_10,pSTAT1,1.0,0.0034938878233463084
cond_il6_10_il10_10,pSTAT1,2.0,0.02315097095939291
cond_il6_10_il10_10,pSTAT1,3.0,0.06350948778869882
cond_il6_10_il10_10,pSTAT1,4.0,0.1251929284342612
cond_il6_10_il10_10,pSTAT1,5.0,0.20704902717596088
cond_il6_10_il10_10,pSTAT1,6.0,0.3067975978721545
cond_il6_10_il10_10,pSTAT1,7.0,0.42119660068961107
cond_il6_10_il10_10,pSTAT1,8.0,0.5459893800464745
cond_il6_10_il10_10,pSTAT1,9.0,0.6760385436131098
cond_il6_10_il10_10,pSTAT1,10.0,0.8058273927521039
cond_il6_10_il10_10,pSTAT1,11.0,0.9301453968340975
cond_il6_10_il10_10,pSTAT1,12.0,1.0446325858151735
cond_il6_10_il10_10,pSTAT1,13.0,1.1460200641096467
cond_il6_10_il10_10,pSTAT1,14.0,1.2321135321982792
cond_il6_10_il10_10,pSTAT1,15.0,1.301644854140087
cond_il6_10_il10_10,pSTAT1,16.0,1.3540908706282366
cond_il6_10_il10_10,pSTAT1,17.0,1.3895096817644896
cond_il6_10_il10_10,pSTAT1,18.0,1.4084107213878143
cond_il6_10_il10_10,pSTAT1,19.0,1.4116586413371326
cond_il6_10_il10_10,pSTAT1,20.0,1.4004048749569766
cond_il6_10_il10_10,pSTAT1,21.0,1.376038790434355
cond_il6_10_il10_10,pSTAT1,22.0,1.3401496094392744
cond_il6_10_il10_10,pSTAT1,23.0,1.2944898518372068
cond_il6_10_il10_10,pSTAT1,24.0,1.2409312327549633
cond_il6_10_il10_10,pSTAT1,25.0,1.1814056891881817
cond_il6_10_il10_10,pSTAT1,26.0,1.1178288389551183
cond_il6_10_il10_10,pSTAT1,27.0,1.0520111411125321
cond_il6_10_il10_10,pSTAT1,28.0,0.9855711434834499
cond_il6_10_il10_10,pSTAT1,29.0,0.9198699656777312
cond_il6_10_il10_10,pSTAT1,30.0,0.8559813211400481
cond_il6_10_il10_10,pSTAT1,31.0,0.7946983236330464
cond_il6_10_il10_10,pSTAT1,32.0,0.7365658849281055
cond_il6_10_il10_10,pSTAT1,33.0,0.6819235698794845
cond_il6_10_il10_10,pSTAT1,34.0,0.6309479299864962
cond_il6_10_il10_10,pSTAT1,35.0,0.5836896433453248
cond_il6_10_il10_10,pSTAT1,36.0,0.5401048131953287
